# Energies per box
# Cycle, LJ_Inter, LJ_tail, LJ_Inter_Total, EL_Real, EL_Excl, EL_Self, EL_Four,                                                EL_Inter, LJ_Intra, EL_Intra, E_Bending, E_Torsion, E_Total
      3000  -0.4489903127E+006  -0.6624206397E+004  -0.4556145191E+006  -0.1039719671E+006   0.6338258780E+007  -0.6358069506E+007   0.9284360808E+004  -0.1144983321E+006   0.0000000000E+000   0.0000000000E+000   0.9925172554E+005   0.0000000000E+000  -0.4708611256E+006
      3100  -0.4546125123E+006  -0.6610860224E+004  -0.4612233725E+006  -0.1034780629E+006   0.6338248794E+007  -0.6358069506E+007   0.9105003529E+004  -0.1141937714E+006   0.0000000000E+000   0.0000000000E+000   0.1048872598E+006   0.0000000000E+000  -0.4705298842E+006
      3200  -0.4543425747E+006  -0.6619055707E+004  -0.4609616304E+006  -0.1058322793E+006   0.6338251721E+007  -0.6358069506E+007   0.9037723079E+004  -0.1166123413E+006   0.0000000000E+000   0.0000000000E+000   0.1032410641E+006   0.0000000000E+000  -0.4743329076E+006
      3300  -0.4535487395E+006  -0.6797774951E+004  -0.4603465144E+006  -0.1124962294E+006   0.6338268467E+007  -0.6358069506E+007   0.8565763451E+004  -0.1237315056E+006   0.0000000000E+000   0.0000000000E+000   0.9378312075E+005   0.0000000000E+000  -0.4902948993E+006
      3400  -0.4579396452E+006  -0.6764212476E+004  -0.4647038577E+006  -0.1045030149E+006   0.6338253840E+007  -0.6358069506E+007   0.9299861637E+004  -0.1150188192E+006   0.0000000000E+000   0.0000000000E+000   0.1020419142E+006   0.0000000000E+000  -0.4776807627E+006
      3500  -0.4514082533E+006  -0.6718947244E+004  -0.4581272006E+006  -0.1068333960E+006   0.6338257229E+007  -0.6358069506E+007   0.9305127086E+004  -0.1173405457E+006   0.0000000000E+000   0.0000000000E+000   0.1001296304E+006   0.0000000000E+000  -0.4753381159E+006
      3600  -0.4533154608E+006  -0.6641122652E+004  -0.4599565835E+006  -0.1070129913E+006   0.6338237065E+007  -0.6358069506E+007   0.8798392503E+004  -0.1180470404E+006   0.0000000000E+000   0.0000000000E+000   0.1115119581E+006   0.0000000000E+000  -0.4664916658E+006
      3700  -0.4459859838E+006  -0.6607968799E+004  -0.4525939526E+006  -0.1162062480E+006   0.6338235385E+007  -0.6358069506E+007   0.8360726959E+004  -0.1276796421E+006   0.0000000000E+000   0.0000000000E+000   0.1124624434E+006   0.0000000000E+000  -0.4678111513E+006
      3800  -0.4435372399E+006  -0.6678731671E+004  -0.4502159716E+006  -0.1131528365E+006   0.6338246857E+007  -0.6358069506E+007   0.8792927872E+004  -0.1241825580E+006   0.0000000000E+000   0.0000000000E+000   0.1059866940E+006   0.0000000000E+000  -0.4684118355E+006
      3900  -0.4511266800E+006  -0.6618524838E+004  -0.4577452048E+006  -0.1099976011E+006   0.6338249093E+007  -0.6358069506E+007   0.9175437535E+004  -0.1206425768E+006   0.0000000000E+000   0.0000000000E+000   0.1047236354E+006   0.0000000000E+000  -0.4736641462E+006
      4000  -0.4530765725E+006  -0.6687654289E+004  -0.4597642268E+006  -0.1079405826E+006   0.6338253679E+007  -0.6358069506E+007   0.9631321677E+004  -0.1181250881E+006   0.0000000000E+000   0.0000000000E+000   0.1021336860E+006   0.0000000000E+000  -0.4757556289E+006
      4100  -0.4588545934E+006  -0.6706563509E+004  -0.4655611569E+006  -0.1115199997E+006   0.6338262438E+007  -0.6358069506E+007   0.9494841045E+004  -0.1218322268E+006   0.0000000000E+000   0.0000000000E+000   0.9718745153E+005   0.0000000000E+000  -0.4902059321E+006
      4200  -0.4562624375E+006  -0.6658795297E+004  -0.4629212328E+006  -0.1035149984E+006   0.6338248100E+007  -0.6358069506E+007   0.8601533907E+004  -0.1147348707E+006   0.0000000000E+000   0.0000000000E+000   0.1052808461E+006   0.0000000000E+000  -0.4723752573E+006
      4300  -0.4757337432E+006  -0.6927187002E+004  -0.4826609303E+006  -0.1112988883E+006   0.6338247330E+007  -0.6358069506E+007   0.1011882171E+005  -0.1210022431E+006   0.0000000000E+000   0.0000000000E+000   0.1057151565E+006   0.0000000000E+000  -0.4979480168E+006
